Name	Males	Females	Total	MedianAge	25thPercentile	75thPercentile
Catinia	0	17	17	42.0	42.0	43.0
Carmie	60	358	418	61.0	54.0	75.0
Michaelchristop	5	0	5	29.0	29.0	29.0
Carmia	0	14	14	43.0	29.0	43.0
Carmin	129	578	707	36.0	28.0	47.0
Niger	6	25	31	38.0	31.0	39.0
Laporshia	0	83	83	24.0	23.0	26.0
Mizraim	41	0	41	17.0	16.0	25.0
Kateria	0	194	194	22.0	18.0	28.0
Derita	0	71	71	53.5	48.0	61.0
Vineta	0	225	225	63.5	50.0	83.0
Chante	33	3614	3647	28.0	22.0	36.0
Derith	0	15	15	68.0	68.0	85.25
Johnwilliam	106	0	106	25.0	21.0	30.0
Shenica	0	132	132	35.0	31.0	38.0
Chanti	0	98	98	36.0	31.0	40.0
Ishmeal	231	0	231	23.0	19.0	33.0
Katerin	0	214	214	19.0	17.0	22.0
Kelcee	0	431	431	22.0	19.0	24.0
Jonmatthew	5	0	5	16.0	16.0	16.0
Rosealie	0	49	49	74.0	73.0	77.0
Danesh	6	0	6	17.0	17.0	17.0
Danese	0	87	87	56.0	50.0	62.0
Zivon	5	0	5	16.0	16.0	16.0
Luria	0	69	69	90.5	80.0	93.75
Debor	0	5	5	62.0	62.0	62.0
Danesa	0	29	29	31.0	30.0	36.0
Lurie	16	107	123	69.0	58.0	86.5
Kaje	16	0	16	17.0	16.0	22.0
Eiko	0	188	188	83.0	80.0	88.25
Sapan	24	0	24	26.0	26.0	30.0
Wynston	79	0	79	18.0	16.0	22.0
Kyrone	20	0	20	38.0	20.0	39.0
Laquatta	0	7	7	33.0	33.0	33.0
Bintu	0	10	10	18.0	15.0	21.0
Elisama	0	12	12	16.0	16.0	23.0
Takenya	0	246	246	33.5	22.0	37.0
Avaya	0	5	5	15.0	15.0	15.0
Briam	15	0	15	27.0	15.0	30.0
Waynard	10	0	10	65.0	65.0	75.0
Keneasha	0	6	6	24.0	24.0	24.0
Binta	0	148	148	22.0	18.0	37.0
Karyssa	0	450	450	21.0	18.0	24.0
Oluwakemi	0	127	127	22.0	18.5	28.0
Toivo	502	0	502	95.0	90.0	100.0
Nolon	120	0	120	75.0	70.0	83.0
Sheamus	82	0	82	20.0	18.0	24.0
Jerious	5	0	5	16.0	16.0	16.0
Willmon	23	0	23	80.5	69.0	92.75
Ciaran	439	14	453	20.0	17.0	24.0
Chalita	0	28	28	39.0	35.0	40.0
Kwante	18	0	18	17.0	16.25	22.0
Savino	410	0	410	35.0	23.0	67.0
Javene	0	5	5	67.0	67.0	67.0
Aniyah	0	891	891	16.0	15.0	17.0
Chicquita	0	63	63	39.5	36.0	50.5
Anaiz	0	182	182	23.0	20.0	26.0
Tarvin	5	0	5	43.0	43.0	43.0
Ranim	0	12	12	18.0	18.0	19.0
Kameel	6	0	6	22.0	22.0	22.0
Tarvis	372	0	372	32.0	26.0	37.0
Ranie	0	109	109	45.0	38.0	54.0
Briara	0	40	40	17.0	16.0	20.0
Lealand	174	0	174	59.0	49.0	81.5
Rania	0	826	826	28.0	19.5	35.0
Stpehen	49	0	49	31.0	29.75	43.0
Tenesa	0	46	46	38.0	33.0	42.0
Destinei	0	15	15	18.0	16.0	20.0
Takeiya	0	6	6	32.0	32.0	32.0
Ralphell	5	0	5	28.0	28.0	28.0
Eleodoro	11	0	11	40.0	19.0	40.0
Elloween	0	5	5	93.0	93.0	93.0
Jabrien	5	0	5	17.0	17.0	17.0
Redonna	0	191	191	51.0	48.0	55.0
Xaria	0	68	68	17.0	15.0	18.0
Zeth	545	0	545	22.0	18.0	27.0
Jayleigh	0	26	26	16.0	15.0	16.0
Dayja	0	248	248	18.0	16.0	19.0
Zeta	0	729	729	62.0	52.0	76.0
Zarita	0	14	14	41.0	41.0	57.0
Aanand	5	0	5	20.0	20.0	20.0
Senetta	0	11	11	41.0	41.0	41.0
Euclides	20	0	20	37.5	34.75	40.5
Parham	10	0	10	20.5	20.0	21.0
Coretha	0	505	505	60.0	51.0	71.0
Rolland	9020	5	9025	62.0	48.0	72.0
Jocilynn	0	7	7	20.0	20.0	20.0
Mecayla	0	5	5	19.0	19.0	19.0
Symphoni	0	11	11	18.0	18.0	20.0
Grenda	0	77	77	56.0	52.0	61.0
Lalana	0	24	24	41.0	39.0	43.0
Theo	5131	2554	7685	47.0	27.0	67.0
Julyanna	0	5	5	18.0	18.0	18.0
Thel	5	0	5	51.0	51.0	51.0
Verneeda	0	10	10	61.0	61.0	61.0
Calep	6	0	6	20.0	20.0	20.0
Fontaine	171	137	308	43.0	35.0	56.0
Dakwon	59	0	59	18.0	17.0	19.0
Kennard	2440	0	2440	46.0	30.0	60.0
Rhondalyn	0	137	137	46.5	41.0	52.5
Thea	5	6266	6271	42.0	28.0	55.0
Jissel	0	149	149	17.0	16.0	20.0
Kamili	0	21	21	43.0	42.0	44.0
Pascual	2194	0	2194	36.0	24.0	54.0
Jerrolyn	0	24	24	68.0	63.0	69.0
Lakshmi	0	229	229	27.0	19.0	35.0
Coralee	0	1616	1616	58.0	41.0	70.0
Linnaea	0	31	31	21.0	16.0	27.0
Marianthi	0	23	23	33.0	24.0	36.0
Jakaela	0	5	5	16.0	16.0	16.0
Takemia	0	5	5	25.0	25.0	25.0
Keyah	0	53	53	19.0	16.0	21.0
Sarahkate	0	5	5	16.0	16.0	16.0
Jotham	176	0	176	29.0	21.0	34.25
Jothan	5	0	5	32.0	32.0	32.0
Schlonda	0	18	18	44.0	42.5	44.75
Gariel	5	6	11	18.0	18.0	39.0
Rajesh	644	0	644	37.0	30.0	42.0
Pooja	0	1472	1472	22.0	18.0	27.0
Jessye	0	382	382	26.0	22.0	70.5
Keslyn	0	5	5	15.0	15.0	15.0
Alisande	0	36	36	44.0	43.0	45.0
Daejohn	10	0	10	16.5	15.0	18.0
Pandora	0	2125	2125	52.0	43.0	59.0
Prestina	0	79	79	31.0	26.0	35.0
Mahlet	0	24	24	16.0	16.0	17.0
Prestine	0	15	15	64.5	63.0	66.0
Jesicca	0	115	115	27.0	24.0	30.0
Laporsha	0	709	709	25.0	22.0	27.0
Taizha	0	5	5	16.0	16.0	16.0
Tifney	0	35	35	38.0	34.0	40.0
Litsy	0	14	14	15.0	15.0	15.0
Yolandia	0	18	18	46.0	42.0	49.0
Joydan	0	8	8	15.0	15.0	15.0
Karrin	0	326	326	38.0	26.0	47.0
Alula	11	0	11	21.0	15.0	21.0
Jaylind	20	0	20	18.0	17.5	19.0
Karrie	0	9485	9485	40.0	34.0	47.0
Jayline	0	174	174	16.0	16.0	18.0
Armida	0	2944	2944	56.0	40.0	68.5
Litsi	0	6	6	15.0	15.0	15.0
Llamile	0	6	6	15.0	15.0	15.0
Litsa	0	21	21	50.0	38.0	53.0
Natesha	0	363	363	30.0	24.0	36.0
Chayan	17	0	17	21.0	17.0	25.0
Kevante	72	0	72	20.0	18.75	22.0
Marke	154	5	159	50.0	32.0	55.0
Amysue	0	18	18	38.0	33.0	39.0
Daion	68	0	68	17.5	16.0	20.0
Marka	5	249	254	51.0	40.0	59.0
Curly	230	6	236	65.0	55.0	72.25
Crecencio	151	0	151	47.0	32.75	67.0
Laleh	0	28	28	31.0	28.0	32.0
Jaylenne	0	20	20	17.0	16.0	18.0
Marko	2038	0	2038	31.0	22.0	41.0
Marki	29	323	352	25.0	21.0	29.25
Markk	5	0	5	54.0	54.0	54.0
Bobak	122	0	122	28.0	25.0	30.75
Nour	124	615	739	19.0	17.0	23.0
Boban	17	0	17	38.0	33.0	40.0
Darya	0	396	396	23.0	18.0	36.5
Marks	93	0	93	51.0	43.5	82.5
Denease	0	42	42	53.0	50.0	58.0
Daryn	1757	552	2309	32.0	21.0	45.0
Chakera	0	25	25	22.0	22.0	23.0
Daryl	59768	4273	64041	49.0	38.0	58.0
Esiquio	101	0	101	50.0	37.0	66.0
Marky	59	0	59	39.0	30.0	46.0
Taquisha	0	307	307	26.0	22.0	31.0
Lynika	0	6	6	38.0	38.0	38.0
Mylan	247	80	327	21.0	17.0	28.0
Taiyo	16	0	16	17.0	15.0	18.0
Mylah	0	43	43	17.0	16.0	17.0
Marivi	0	37	37	19.0	18.0	19.0
Abrina	0	88	88	20.0	17.0	23.0
Taiya	0	261	261	17.0	16.0	21.0
Tian	50	80	130	20.0	17.0	33.0
Octava	0	24	24	91.0	84.0	93.0
Arzel	5	0	5	18.0	18.0	18.0
Octave	343	0	343	72.0	61.25	82.0
Khaliyl	18	0	18	20.0	16.0	26.75
Keinan	74	0	74	19.5	17.0	22.0
